frame_evento,mano_frame,cabeza_frame,depth_mano,depth_cabeza,delta_d,delta_t,velocidad,intensidad,razon
81,78,81,0.3507,0.0000,0.3500,0.1002,3.4946,fuerte,clamped_delta_d
110,55,110,0.9277,0.0000,0.3500,1.8362,0.1906,leve,clamped_delta_d
137,82,137,0.1438,0.0323,0.1115,1.8362,0.0607,leve,ok
169,114,169,0.9191,0.0289,0.3500,1.8362,0.1906,leve,clamped_delta_d
195,140,195,0.0000,0.0000,0.0000,1.8362,0.0000,leve,ok
226,172,226,0.9184,0.0038,0.3500,1.8028,0.1941,leve,clamped_delta_d
226,191,226,0.2127,0.0038,0.2089,1.1685,0.1788,leve,ok
254,199,254,0.0000,0.5693,-0.3500,1.8362,0.1906,leve,clamped_delta_d
284,229,284,0.9166,0.0154,0.3500,1.8362,0.1906,leve,clamped_delta_d
314,260,314,0.0000,0.0137,-0.0137,1.8028,0.0076,leve,ok
365,363,365,0.8761,0.0000,0.3500,0.0668,5.2419,fuerte,clamped_delta_d
415,412,415,0.3391,0.0000,0.3391,0.1002,3.3853,fuerte,ok
461,458,461,0.8951,0.0000,0.3500,0.1002,3.4946,fuerte,clamped_delta_d
507,505,507,0.3474,0.0000,0.3474,0.0668,5.2026,fuerte,ok
553,549,553,0.9246,0.0000,0.3500,0.1335,2.6209,fuerte,clamped_delta_d
597,594,597,0.2825,0.0000,0.2825,0.1002,2.8203,fuerte,ok
